"title","provider_value","actually_discount","link","rate_value","image_one","description","data_professional_advice","coupon_info","volume","tags","content_description","content_instructions","content_composition","provider"
"A-derma crema solar protectora SPF50 150ml","13,20 €","-29%","https://www.promofarma.com/a-derma-crema-solar-protectora-spf50-150ml","10","https://image.promofarma.com/product/51227/sd/2510769/large/coupon_image_1.jpg","Con la llegada del buen tiempo, aumentan las horas de exposición solar. Para prevenir riesgos para nuestra piel, es muy importante que usemos protector solar y evitemos exponerlos al sol durante muchas horas seguidas.
A-derma crema solar protectora SPF50 ofrece protección solar alta frente a las radiaciones solares y resulta ideal para piles atópicas. Su fórmula sin perfume ni parabenes se absorbe fácilmente y es resistente al agua. Contiene aceite de plántulas de Avena Rhealba, que contribuye al refuerzo y protección de la barrera cutánea.
¡Protege tu piel con A-derma!","Consejo Farmacéutico","
                            Protección alta frente a las radiaciones solares UVA y UVB
                        ","150ml","
#a-derma
","","","","promofarma"
"Kokona Crema Protector Facial Solar Spf30 75 Ml","14,90 €","without discount","https://www.promofarma.com/es/kokona-crema-protector-facial-solar-spf30-75-ml/p-74682","","https://image.promofarma.com/product/74682/sd/2510769/large/coupon_image_1.jpg","","Consejo Farmacéutico","
                            Kokona Crema Protector Facial Solar Spf30 75 Ml
                        ","","
#kokona
","","","","promofarma"
"Mesoestetic Mesoprotech Locion Protectora Solar  Spf30+ 200ml","44,00 €","-21%","https://www.promofarma.com/es/mesoestetic-mesoprotech-locion-protectora-solar-spf30-plus-200ml/p-111333","","https://www-assets.promofarma.com/dist/images/not-found.png","","Consejo Farmacéutico","
                            Mesoestetic Mesoprotech Locion Protectora Solar  Spf30+ 200ml
                        ","","
#mesoestetic
","","","","promofarma"
"Soltan Protector Solar Spray Niños SPF30+ 200ml","16,95 €","-20%","https://www.promofarma.com/soltan-protector-solar-spray-ninos-spf30-200ml","9.4","https://image.promofarma.com/product/23512/sd/2510769/large/coupon_image_1.jpg","La piel de los más pequeños corre peligro durante la exposición solar y debe ser protegida con un protector solar adecuado a su tipo de piel.
Soltan Protector Solar Spray Niños SPF30+ es un protector solar elevado para combatir los efectos nocivos de las radiaciones solares durante la exposición solar de los más pequeños.
Formulado con vitamina c, semillas de uva y ginseng aumenta las defensas naturales de la piel.
Resistente al agua.
¡Cuida la piel de los más pequeños!","Consejo Farmacéutico","
                            Protector solar indicado para los más pequeños
                        ","200ml","
#soltan
","","","","promofarma"
"BIMAIO Protector Solar Facial con Color SPF50+ 50ml","9,18 €","without discount","https://www.promofarma.com/es/bimaio-protector-solar-facial-con-color-spf50-50ml/p-223574","10","https://image.promofarma.com/product/223574/sd/2510769/large/coupon_image_1.jpg","","Consejo Farmacéutico","
","","
#bimaio
","","","","promofarma"
"Picu Baby Protector Solar Infantil Spf50 100ml","9,75 €","-21%","https://www.promofarma.com/es/picu-baby-protector-solar-infantil-spf50-100ml/p-67730","","https://image.promofarma.com/product/67730/sd/2510769/large/coupon_image_1.jpg","","Consejo Farmacéutico","
                            Picu Baby Protector Solar Infantil Spf50 100ml
                        ","","
#picu baby
","","","","promofarma"
"Kokona Crema Protector Facial Solar Spf50 75 Ml","16,90 €","without discount","https://www.promofarma.com/es/kokona-crema-protector-facial-solar-spf50-75-ml/p-74683","","https://image.promofarma.com/product/74683/sd/2510769/large/coupon_image_1.jpg","","Consejo Farmacéutico","
                            Kokona Crema Protector Facial Solar Spf50 75 Ml
                        ","","
#kokona
","","","","promofarma"
"Mitosyl Protector Spray Solar Infantil SPF50+ 150ml","24,07 €","without discount","https://www.promofarma.com/es/mitosyl-protector-spray-solar-infantil-spf50-150ml/p-31382","","https://image.promofarma.com/product/31382/sd/2510769/large/coupon_image_1.jpg","Jugar en el exterior es uno de los grándes placeres de la infancia. Sin embargo, hemos de ser más conscientes de que los peligros de los rayos solares y su intensidad creciente significan que la delicada piel de los niños necesita la protección más segura disponible. Se trata de que jueguen seguros al sol.
Mitosyl Protector Spray Solar Infantil SPF50+ es un protector solar infantil para combatir los efectos nocivos de los rayos UVA y UVB durante la exposición solar.
Enriquecido con antileukine 6, vitamina e y filtros minerales reduce el riesgo de fotodermatosis, incluyendo eczemas y reacciones alérgicas provocadas por el sol.
Indicado para todo tipo de pieles, sensibles y alérgicas. Para niños y bebés a partir de 6 meses.
*Resistente al agua.
Protege la piel de los más pequeños.","Consejo Farmacéutico","
                            Protector solar corporal infantil
                        ","150ml","
#mitosyl®
","","","","promofarma"
"Rene Furterer Fluido Solar Protector Spf 50 100ml","14,50 €","-10%","https://www.promofarma.com/es/rene-furterer-fluido-solar-protector-spf-50-100ml/p-161850","","https://image.promofarma.com/product/161850/sd/2510769/large/coupon_image_1.jpg","","Consejo Farmacéutico","
                            Rene Furterer Fluido Solar Protector Spf 50 100ml
                        ","","
#rene furterer 
","","","","promofarma"
"Bella Aurora Protector Solar Spf50 Pre-base Maquillaje 30ml","15,99 €","-19%","https://www.promofarma.com/es/bella-aurora-protector-solar-spf50-pre-base-maquillaje-30ml/p-92494","","https://image.promofarma.com/c/2510769/p/92494_1-m/bella-aurora-protector-solar-spf50-pre-base-maquillaje-30ml.jpg","Bella Aurora Protector Solar Spf50 Pre-base Maquillaje 30ml es un protector solar de alto protección SPF50+ contra los rayos UVA/UVB, Infrarrojos y HEV luz visible. Este protector solar tiene una Pre-base maquillaje perfeccionadora, que minimiza la apariencia de poros, finas líneas de expresión e imperfecciones. También ayuda a prevenir la aparición de manchas e hidrata la piel del rostro. Además, contiene antioxidantes que reparan y protegen el ADN de las células ante los radicales libres que causan el envejecimiento prematuro. Este producto tiene un acabado de tacto seco muy resistente al agua.
 ¿Qué beneficios aporta Bella Aurora Protector Solar Spf50 Pre-base Maquillaje?

Ofrece alta protección solar SPF50+ contra los rayos UVA/UVB, Infrarrojos y HEV luz visible.
Acción Antimanchas que ayuda a prevenir el envejecimiento prematuro.
Atenúa las arrugas y reafirma la tez.
Pre-base maquillaje perfeccionadora minimiza la apariencia de los poros, líneas de expresión e imperfecciones.
Contribuye en la prevención de la aparición de manchas.
Hidrata la piel del rostro.
Tiene antioxidantes que reparan y protegen el ADN de las células cutáneas.
Es resistente al agua.
Tiene un tacto seco.","Consejo Farmacéutico","
                            Alta protección solar SPF50+ con base de maqullaje para igualar el tono.
                        ","","
#bella aurora
","","","","promofarma"
"Rougj Crema Solar Bronceadora Protectora Spf6 100ml","17,38 €","without discount","https://www.promofarma.com/es/rougj-crema-solar-bronceadora-protectora-spf6-100ml/p-211382","","https://www-assets.promofarma.com/dist/images/not-found.png","","Consejo Farmacéutico","
                            Rougj Crema Solar Bronceadora Protectora Spf6 100ml
                        ","","
#rougj
","","","","promofarma"
"Melabel Whitening Crema Protector Solar Spf 50+ 50 Ml","23,00 €","without discount","https://www.promofarma.com/es/melabel-whitening-crema-protector-solar-spf-50-plus-50-ml/p-239608","","https://image.promofarma.com/c/2510769/p/239608_1-m/melabel-whitening-crema-protector-solar-spf-50-plus-50-ml.jpg","","Consejo Farmacéutico","
                            Melabel Whitening Crema Protector Solar Spf 50+ 50 Ml
                        ","","
#biotrade cosmeceuticals
","","","","promofarma"
"Algamaris Bálsamo Labial Protector Solar SPF30+ 15ml","9,90 €","-20%","https://www.promofarma.com/algamaris-balsamo-labial-protector-solar-spf30-15ml","","https://image.promofarma.com/product/31439/sd/2510769/large/coupon_image_1.jpg","Los labios, por su piel fina y delicada, son una de las zonas del cuerpo más sensibles a los daños provocados por las radiaciones solares. Además de provocar quemaduras, favorece la aparición de calenturas y herpes labiales, por ello necesitas protegerlos adecuadamente. 
Algamaris Bálsamo Labial Protector Solar SPF30+ es un protector labial que ofrece un nivel de protección muy alto a tu piel. Evita que los labios se resequen gracias a su concentrado de principios activos a base de plantas.
Además, es rico en oligoelementos y aminoácidos esenciales que proporcionan un gran poder antioxidante para neutralizar los radicales libres. Evita ue se causen daños celulares irreversibles.
*Apto para veganos y celíacos.
¡Luce unos labios bonitos!","Consejo Farmacéutico","
                            Bálsamo labial protector solar con factor de protección alto
                        ","15ml","
#algamaris
","","","","promofarma"
"Cumlaude Sunlaude Protector solar transparente SPF50+75ml","10,64 €","-34%","https://www.promofarma.com/cumlaude-sunlaude-protector-solar-transparente-spf50-plus-75ml","","https://image.promofarma.com/product/67789/sd/2510769/large/coupon_image_1.jpg","Ya llega el verano, por ello debes proteger tu piel y la de tu familia con productos solares de alta protección.
Cumlaude Sunlaude Spray transparente SPF50+ es un solar en spray que ayuda a cuidar la piel durante la exposición solar. Es ideal para deportistas o personas que viajan mucho.
Características: 

Protege de la radiación UVA y UVB.
Se puede usar sobre la piel seca o mojada.
Su fresca textura deja un tacto agradable y no mancha.
Está enriquecida con activos antioxidantes y regeneradores.
No contiene colorantes, perfumes ni parabenos.
Presentación de 75ml 

¡Protege tu piel con Cumlaude!","Consejo Farmacéutico","
                            Protección solar para todo tipo de pieles
                        ","75ml","
#cumlaude
","","","","promofarma"
"Sunlikesunlike Protector Solar Locion Spf 20 Zanahoria 200 Ml","14,95 €","without discount","https://www.promofarma.com/es/sunlikesunlike-protector-solar-locion-spf-20-zanahoria-200-ml/p-69171","","https://image.promofarma.com/product/69171/sd/2510769/large/coupon_image_1.jpg","","Consejo Farmacéutico","
                            Sunlikesunlike Protector Solar Locion Spf 20 Zanahoria 200 Ml
                        ","","
#sunlike
","","","","promofarma"
"Th Pharma Sun Mousse Protector Solar Spf30 200ml","13,95 €","-20%","https://www.promofarma.com/es/th-pharma-sun-mousse-protector-solar-spf30-200ml/p-71890","","https://image.promofarma.com/product/71890/sd/2510769/large/coupon_image_1.jpg","","Consejo Farmacéutico","
                            Th Pharma Sun Mousse Protector Solar Spf30 200ml
                        ","","
#th pharma
","","","","promofarma"
"Sunlike Leche Protector Solar SPF20+ Zanahoria Pulverizador 200ml","14,95 €","-5%","https://www.promofarma.com/sunlike-leche-protector-solar-spf20-plus-zanahoria-pulverizador-200ml","","https://image.promofarma.com/product/69166/sd/2510769/large/coupon_image_1.jpg","","Consejo Farmacéutico","
","","
#sunlike
","","","","promofarma"
