"title","quality_overall","price","picture_image","laboratory","laboratory_logo","data_description","data_composition","data_mode_use"
"Heliocare Gelcream Color Brown Spf 50 50ml","88%","24,55 €","https://www.mifarma.es/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/h/e/heliocare_gelcream_color_brown_spf_50_50ml157143_.jpg","Heliocare","https://www.mifarma.es/media/amshopby/medium42.jpg","","ComposiciónAqua. Butylene glycol cocoate. C12-15 alkyl benzoate. Bis-ethylhexyloxyphenol methoxyphenyl triazine. CI 77891. Diethylhexyl butamido triazone. Cetearyl alcohol. Hexylene glycol. Ethylhexyl salicylate. Butyl methoxydibenzoylmethane. Polysilicone-15. Titanium dioxide. Stearalkonium hectorite. Myristyl alcohol. Coco-glucoside. Dipropylene glycol dibenzoate. Ceteareth-25. Ethylhexyl triazone. Polypodium leucotomos leaf extract. Phenoxyethanol. CI 77492. Myristyl glucoside. Disodium ethylene dicocamide PEG-15 disulfate. Panthenol. Propylene glycol. PPG-15 stearyl ether benzoate. CI 77491. Dicaprylyl carbonate. Tocopheryl acetate. Sodium hyaluronate. CI 77019. Camelia sinensis extract. Manganese oxide. Methylparaben. Propylparaben. Disodium EDTA. Parfum. Propylene carbonate. BHT. Linalool. Limonene.","Modo de uso- Como producto único durante el día: Aplicar sobre la piel limpia distribuyendo uniformemente pequeñas cantidades por toda la zona y extender suavemente.
- En combinación con otros cosméticos: Aplicar en último lugar distribuyendo uniformemente pequeñas cantidades por toda la zona y extender suavemente."
"Uriage Roseliane Crema Antirojeces SPF30 40ml","96%","22,51 €","https://www.mifarma.es/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/u/r/uriage_roseliane_crema_antirojeces_spf30_40ml184361_.jpg","Uriage","https://www.mifarma.es/media/amshopby/medium59.jpg","","",""
"Solar Antimanchas SPF50 Piel Sensible Bella Aurora 50ml","96%","19,30 €","https://www.mifarma.es/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/s/o/solar_antimanchas_spf50_piel_sensible_bella_aurora_50ml450310_.jpg","Bella Aurora","https://www.mifarma.es/media/amshopby/medium131.jpg","","","Modo de usoAplicar con un ligero masaje después de la crema habitual por la mañana.
Se puede utilizar como crema hidratante de prevención en manchas con factor de protección."
"Uriage Hyseac Fluido Solar SPF-50 50ml","90%","19,20 €","https://www.mifarma.es/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/u/r/uriage_hyseac_fluido_solar_spf-50_50ml353823_.jpg","Uriage","https://www.mifarma.es/media/amshopby/medium59.jpg","","ComposiciónAgua Termal Uriage , Complejo filtrante anti UVA/UVB equilibrado ,Sebosomas de Epilobio , Polvos matificantes , Fitoesteroles.","Modo de usoAntes de exponerse al sol, aplicar una cantidad suficiente, homogénea, para cubrir bien toda la superficie expuesta."
"La Roche Posay Anthelios Bruma Invisible Facial SPF50+ 75ml","96%","20,05 €","https://www.mifarma.es/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/l/a/la_roche_posay_anthelios_bruma_invisible_facial_spf50__75ml179254_.jpg","La Roche Posay","https://www.mifarma.es/media/amshopby/medium13.jpg","","ComposiciónBUTANE AQUA / WATER HOMOSALATE DICAPRYLYL ETHER OCTOCRYLENE ETHYLHEXYL SALICYLATE DIMETHICONE STYRENE/ACRYLATES COPOLYMER BUTYL METHOXYDIBENZOYLMETHANE DROMETRIZOLE TRISILOXANEPEG-30 DIPOLYHYDROXYSTEARATE NYLON-12 DICAPRYLYL CARBONATE METHYL METHACRYLATE CROSSPOLYMER CYCLOHEXASILOXANE POLYMETHYLSILSESQUIOXANE p-ANISIC ACID CAPRYLYL GLYCOL DISODIUM EDTA DISTEARDIMONIUM HECTORITE DODECENE ETHYLHEXYL TRIAZONE ISODODECANE LAURYL PEG/PPG-18/18 METHICONE PEG-8 LAURATE PHENOXYETHANOL POLOXAMER 407 POLY C10-30 ALKYL ACRYLATE PROPYLENE CARBONATE SODIUM CHLORIDE TOCOPHEROL PARFUM / FRAGRANCE.","Modo de usoAgitar bien antes de usar. Pulverizar a un mínimo de 15cm de distancia del rostro. Distribuir uniformemente sobre el rostro sin vaporizar más de 3 segundos en el mismo lugar. Cerrar y proteger ojos y boca durante la aplicación."
"Sunlaude Color SPF 50+ Emulsión Facial Coloreada Cumlaude 50 ml","95%","20,72 €","https://www.mifarma.es/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/s/u/sunlaude_color_spf_50__emulsi__n_facial_coloreada_cumlaude_50_ml267039_.jpg","Cumlaude","https://www.mifarma.es/media/amshopby/medium91.jpg","","","Modo de usoAplicar 30 minutos antes de la exposición al sol. Reaplicar cada 2 horas."
"La Roche Posay Anthelios Ultra BB Cream con Color SPF50+ 50ml","94%","22,75 €","https://www.mifarma.es/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/l/a/la_roche_posay_anthelios_ultra_bb_cream_con_color_spf50__50ml173768_.jpg","La Roche Posay","https://www.mifarma.es/media/amshopby/medium13.jpg","","","Modo de usoAplica el protector solar justo antes de la exposición al sol. Reaplica con frecuencia de forma generosa para mantener la protección, especialmente tras haber nadado, sudado o secado con toalla."
"Bioderma Photoderm Nude Touch SPF50+ Color Claro 40ml","92%","19,36 €","https://www.mifarma.es/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/b/i/bioderma_photoderm_nude_touch_spf50__color_claro_40ml182916_.jpg","Bioderma","https://www.mifarma.es/media/amshopby/medium141.jpg","","ComposiciónZINC OXIDE [NANO], DIMETHICONE, ISODODECANE, ISOSTEARYL ISOSTEARATE, BUTYROSPERMUM PARKII (SHEA) BUTTER EXTRACT, TITANIUM DIOXIDE [NANO], PROPYLHEPTYL CAPRYLATE, DIPROPYLENE GLYCOL, METHYL METHACRYLATE CROSSPOLYMER, SILICA, POLYMETHYLSILSESQUIOXANE, IRON OXIDES (CI 77492), AQUA/WATER/ EAU, POLYHYDROXYSTEARIC ACID, HDI/TRIMETHYLOL HEXYLLACTONE CROSSPOLYMER, PEG-10 DIMETHICONE, POLYSILICONE-11, TRIETHOXYCAPRYLYLSILANE, SALICYLIC ACID, BUTYLENE GLYCOL, IRON OXIDES (CI 77491), CAPRYLOYL GLYCINE, PROPYL GALLATE, IRON OXIDES (CI 77499), HYDROGENATED LECITHIN, CAPRYLYL GLYCOL, DECYL GLUCOSIDE, TOCOPHEROL, ECTOIN, MANNITOL, XYLITOL. [BI 740]","Modo de usoAgitar bien antes de usar hasta que se oiga el sonido de las bolas.
Después de la aplicación del cuidado diario hidratante, aplicar Nude Touch en rostro y cuello antes de la exposición al sol, de manera uniforme y generosa. Reaplicar frecuentemente."
"Heliocare Color Toque De Sol Spf 50 50 ml","93%","24,55 €","https://www.mifarma.es/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/h/e/heliocare_color_toque_de_sol_spf_50_50_ml152969_.jpg","Heliocare","https://www.mifarma.es/media/amshopby/medium42.jpg","","",""
"Isdin Fotoprotector Pediatrico Wet Skin Spray Transparente 50+ 250 ml","98%","22,95 €","https://www.mifarma.es/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/i/s/isdin_fotoprotector_pediatrico_wet_skin_spray_transparente_50__250_ml167424_.jpg","Isdin","https://www.mifarma.es/media/amshopby/medium10.jpg","","ComposiciónAlcohol Denat., Isobutane, Octocrylene, Butyl Methoxydibenzoylmethane, Ethylhexyl Salicylate, Dibutyl Adipate, Aqua (Water), Coconut Alkanes, Cyclopentasiloxane, 4-Methylbenzylidene Camphor, Cyclohexasiloxane, Butane, Polyurethane-64, Propane, Coco-Caprylate/Caprate, Tocopheryl Acetate, Parfum (Fragrance), BHT, Linalool.",""
"Bioderma Photoderm Nude Touch SPF50+ Color Dorado 40ml","95%","19,36 €","https://www.mifarma.es/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/b/i/bioderma_photoderm_nude_touch_spf50__color_dorado_40ml182917_.jpg","Bioderma","https://www.mifarma.es/media/amshopby/medium141.jpg","","ComposiciónZINC OXIDE [NANO], DIMETHICONE, ISODODECANE, ISOSTEARYL ISOSTEARATE, BUTYROSPERMUM PARKII (SHEA) BUTTER EXTRACT, TITANIUM DIOXIDE [NANO], PROPYLHEPTYL CAPRYLATE, DIPROPYLENE GLYCOL, METHYL METHACRYLATE CROSSPOLYMER, SILICA, POLYMETHYLSILSESQUIOXANE, IRON OXIDES (CI 77492), AQUA/WATER/ EAU, POLYHYDROXYSTEARIC ACID, HDI/TRIMETHYLOL HEXYLLACTONE CROSSPOLYMER, PEG-10 DIMETHICONE, POLYSILICONE-11, TRIETHOXYCAPRYLYLSILANE, SALICYLIC ACID, BUTYLENE GLYCOL, IRON OXIDES (CI 77491), CAPRYLOYL GLYCINE, PROPYL GALLATE, IRON OXIDES (CI 77499), HYDROGENATED LECITHIN, CAPRYLYL GLYCOL, DECYL GLUCOSIDE, TOCOPHEROL, ECTOIN, MANNITOL, XYLITOL. [BI 740]","Modo de usoAgitar bien antes de usar hasta que se oiga el sonido de las bolas.
Después de la aplicación del cuidado diario hidratante, aplicar Nude Touch en rostro y cuello antes de la exposición al sol, de manera uniforme y generosa. Reaplicar frecuentemente."
"Heliocare XF Gel Spf 50 50ml","92%","24,05 €","https://www.mifarma.es/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/h/e/heliocare_xf_gel_spf_50_50ml160004_.jpg","Heliocare","https://www.mifarma.es/media/amshopby/medium42.jpg","","ComposiciónAqua. Ethylhexyl methoxycinnamate. Styrene/Acrylates copolymer. Octocrylene. Diethylamino hydroxybenzoyl hexyl benzoate. C12-15 alkyl benzoate. Cyclopentasiloxane. Glycerin. Ethylhexyl triazone. C14-22 alcohols. C12-20 alkyl glucoside. Bis-ethylhexyloxyphenol methoxyphenyl triazine. Hexylene glycol. Zinc oxide (nano). Polypodium leucotomos leaf extract. PEG/PPG-20/6 dimethicone. Hydrolyzed wheat protein/PVP crosspolymer. Titanium dioxide (nano). Ethoxydiglycol. Phenoxyethanol. Xanthan gum. Tocopheryl acetate. Cetyl dimethicone. Camelia sinensis extract. Micrococcus lysate. Methylparaben. Propylparaben. Phytosphingosine HCl. Sodium carbomer. Parfum. Citric acid. Alumina. BHT. Disodium EDTA. Triethoxycaprylylsilane. Simethicone. Linalool. Limonene.","Modo de usoAgitar antes de usar. Aplicar antes de la exposición solar sobre la piel limpia o sobre el tratamiento cosmético. Permite el uso de maquillaje tras su aplicación.
Exposiciones intensas: aplicar de forma generosa y uniforme sobre la piel limpia antes de la exposición solar. Renovar frecuentemente."
"Fotoprotector Isdin Extrem 50+ Fusion Fluid 50ml","92%","21,95 €","https://www.mifarma.es/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/f/o/fotoprotector_isdin_extrem_50__fusion_fluid_50ml152536_.jpg","Isdin","https://www.mifarma.es/media/amshopby/medium10.jpg","","","Modo de usoAgitar antes de usar. Aplicar generosamente sobre la piel seca antes de la exposición solar y reaplicar con frecuencia."
"Isdin Fotoprotector SunBrush Mineral SPF30 4g","77%","29,95 €","https://www.mifarma.es/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/i/s/isdin_fotoprotector_sunbrush_mineral_spf30_4g1791818_.jpg","Isdin","https://www.mifarma.es/media/amshopby/medium10.jpg","","ComposiciónMica, Titanium Dioxide, Dimethicone/Vinyl Dimethicone Crosspolymer, Polymethylsilsesquioxane, Silica, Lauroyl Lysine, Calcium Silicate, Triethoxycaprylylsilane, 1,2-Hexanediol, Caprylyl Glycol, Benzylidene Dimethoxydimethylindanone , [+/- May contain: CI 77492 (Iron Oxides), CI 77491 (Iron Oxides), CI 77499 (Iron Oxides)].","Modo de usoAplicar generosamente sobre la piel seca y previamente hidratada, antes de la exposición solar."
"Eryfotona AK-NMSC Fluido Solar Isdin 50ml","87%","25,56 €","https://www.mifarma.es/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/e/r/eryfotona_ak-nmsc_fluido_solar_isdin_50ml8470001658531_.jpg","Isdin","https://www.mifarma.es/media/amshopby/medium10.jpg","","","Modo de usoAplicar generosamente sobre toda la zona afectada 2 veces al día, por la mañana y al mediodía. La fotoliasa se activa con la luz visible."
"HELIOCARE 360 Gel 50ml","91%","29,50 €","https://www.mifarma.es/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/h/e/heliocare_360_gel_50ml170742_.jpg","Heliocare","https://www.mifarma.es/media/amshopby/medium42.jpg","","ComposiciónAqua. Ethylhexyl methoxycinnamate. Diethylamino hydroxybenzoyl hexyl benzoate. Octocrylene. C14-22 alcohols. C12-15 alkyl benzoate. Glycerin. Ethylhexyl triazone. Titanium dioxide(nano). Bis-ethylhexyloxyphenol methoxyphenyl triazine. Hexylene glycol. Cyclopentasiloxane. Ceteareth-25. Styrene/acrylates copolymer. C12-20 alkyl glucoside. Cyclohexasiloxane. PEG/PPG-20/6 dimethicone. 3-O ethyl ascorbic acid. Polypodium leucotomos leaf extract. Ethylhexyl ferulate. Ferulic acid. Caffeic acid. Physalis angulata extract. Caprylyl glycol. Phenoxyethanol. Melanin. Disodium ethylene dicocamide PEG-15 disulfate. Sodium citrate. Hydrolyzed wheat protein/PVP crosspolymer. Camelia sinensis extract. Tocopheryl acetate. Panthenyl triacetate. Citric acid. Xanthan gum. Phytosphingosine HCl. Arabidopsis thaliana extract. Parfum. Ethylhexylglycerin. Alumina. Ethyl linoleate. Cetyl dimethicone. Caprylic/Capric triglyceride. Oleyl alcohol. Sodium carbomer. Simethicone. BHT. Disodium EDTA. Butylene glycol. Oxothiazolidine. Tocopherol. Lecithin. Hydrogenated lecithin. Palmitoyl hydroxypropyltrimonium amylopectin/glycerin crosspolymer. Pentylene glycol. 1.2-hexanediol. Sodium benzoate. Linalool. Limonene.","Modo de usoAplicar 30 minutos antes de la exposición solar y reaplicar cada 2 horas y después del baño."
"Fotoprotector Isdin Pediatrics Spray Transparente 50+ 200ml","91%","22,95 €","https://www.mifarma.es/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/f/o/fotoprotector_isdin_pediatrics_spray_transparente_50__200ml159316_.jpg","Isdin","https://www.mifarma.es/media/amshopby/medium10.jpg","","",""
"Heliocare Crema Ultra Spf 90 50ml","91%","26,05 €","https://www.mifarma.es/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/h/e/heliocare_crema_ultra_spf_90_50ml393579_.jpg","Heliocare","https://www.mifarma.es/media/amshopby/medium42.jpg","","ComposiciónAqua. C12-15 alkyl benzoate. Diethylamino hydroxybenzoyl hexyl benzoate. Diethylhexyl butamido triazone. Titanium dioxide. Dipropylene glycol dibenzoate. Isoamyl laurate. Caprylyl methicone. Hexylene glycol. Octyldodecanol. Disiloxane. Cetyl PEG/PPG-10/1 dimethicone. PEG-30 dipolyhydroxystearate. PPG-15 stearyl ether. Isostearyl isostearate. Disteardimonium hectorite. Di-C12-13 alkyl tartrate. Polysilicone-15. Cyclopentasiloxane. Hydrogenated polyisobutene. Octyldodecyl xyloside. Polypodium leucotomos leaf extract. Methylene bis-benzotriazonyl tetramethylbutylphenol (nano). PPG-15 stearyl ether benzoate. Caprylyl glycol. Phenoxyethanol. Camelia sinensis extract. Ethylhexyl ferulate. Ferulic acid. Caffeic acid. Disodium EDTA. Magnesium sulfate. Decyl glucoside. Propylene glycol. Xanthan gum. Ethylhexylglycerin. Silica silylate. Silica. Parfum. CI 77492. CI 77499. CI 77491. Linalool. Limonene.","Modo de usoAplicar uniformemente sobre la piel antes de cada exposición solar. Renovar frecuentemente la aplicación tras exposiciones solares intensas o baños prolongados."
